Title,Country,Publication_Year,Long_Lat,Level_1 ,Level_1_Interaction,Level_2,Level_2_Interaction,Study_Treatment,Soil_Depth_Increment,MAP,MAT,Mean_annual_evapotranspiration,Mean_annual_precipitation,Mean_annual_temperature,Elevation,Plot_sample_size,Sample_number,Plot_size,Study_start_t0,Study_end_tx,Study_duration,Indicators included,Soil_Depth_Increment,MAP,MAT,Mean_annual_evapotranspiration,Mean_annual_precipitation ,Mean_annual_temperature,Elevation ,Plot_sample_size,Sample_number,Plot_size ,Study_start_t0,Study_end_tx,Study_duration ,Indicators included,OC_t0,OC_t0_SD,OC_tx,OC_tx_SD,OM_t0,OM_t0_SD,OM_tx,OM_tx_SD,BD_t0,BD_t0_SD,BD_tx,BD_tx_SD,SOC_stock_t0,SOC_stock_t0_SD,SOC_stock_tx,SOC_stock_tx_SD,SOC_stock_absDelta,SOC_stock_percDelta,SOC_abs_delta_annualized,OC_absDelta,OC_percDelta,OM_absDelta,OM_percDelta,Dominant_Veg,Soil_Texture,Sand,Animal_Category,Animal_Size_Class,Animal_type,Study_quality,Reviewer,Comment ,Comment_2,Outlier
"Carbon sequestration in the pastoral area of Chepareria, western Kenya",Kenya,2014,"35.2, 1.316667",Grazing management,,Improved grazing methods,,Treatment: Rotational grazing (1-5 years),80-100,900,,,,,1400,6,3,,,,36,,80-100,900,,,,,1400,6.00,3,,,,36,,,,6.9,,,,,,,,1.34,,,,17.82,,4.14,30.26315789,,1.8,35.29411765,,,,,,1,,,,Jaclyn,Mean treatment values by depth inferred from graphs. SOC stock values are close but not exactly matching stocks calculated from inferred BD and OC. Treatment duration is average of range provided or smallest value when range was provided as >X.,,0
"Carbon sequestration in the pastoral area of Chepareria, western Kenya",Kenya,2014,"35.2, 1.316667",Grazing management,,Improved grazing methods,,Treatment: Rotational grazing (7-10 years),0-20,900,,,,,1400,6,3,,,,102,,0-20,900,,,,,1400,6.00,3,,,,102,,,,7.9,,,,,,,,1.07,,,,16.67,,4.27,34.43548387,,2.6,49.05660377,,,,,,1,,,,Jaclyn,Mean treatment values by depth inferred from graphs. SOC stock values are close but not exactly matching stocks calculated from inferred BD and OC. Treatment duration is average of range provided or smallest value when range was provided as >X.,,0
"Carbon sequestration in the pastoral area of Chepareria, western Kenya",Kenya,2014,"35.2, 1.316667",Grazing management,,Improved grazing methods,,Treatment: Rotational grazing (7-10 years),20-40,900,,,,,1400,6,3,,,,102,,20-40,900,,,,,1400,6.00,3,,,,102,,,,8.4,,,,,,,,1.25,,,,22.65,,3.2,16.45244216,,2.9,52.72727273,,,,,,1,,,,Jaclyn,Mean treatment values by depth inferred from graphs. SOC stock values are close but not exactly matching stocks calculated from inferred BD and OC. Treatment duration is average of range provided or smallest value when range was provided as >X.,,0
"Carbon sequestration in the pastoral area of Chepareria, western Kenya",Kenya,2014,"35.2, 1.316667",Grazing management,,Improved grazing methods,,Treatment: Rotational grazing (7-10 years),40-60,900,,,,,1400,6,3,,,,102,,40-60,900,,,,,1400,6.00,3,,,,102,,,,8.2,,,,,,,,1.4,,,,24.07,,8.23,51.95707071,,2.5,43.85964912,,,,,,1,,,,Jaclyn,Mean treatment values by depth inferred from graphs. SOC stock values are close but not exactly matching stocks calculated from inferred BD and OC. Treatment duration is average of range provided or smallest value when range was provided as >X.,,0
"Carbon sequestration in the pastoral area of Chepareria, western Kenya",Kenya,2014,"35.2, 1.316667",Grazing management,,Improved grazing methods,,Treatment: Rotational grazing (7-10 years),60-80,900,,,,,1400,6,3,,,,102,,60-80,900,,,,,1400,6.00,3,,,,102,,,,7.6,,,,,,,,1.35,,,,27.5,,17.33,170.4031465,,1.9,33.33333333,,,,,,1,,,,Jaclyn,Mean treatment values by depth inferred from graphs. SOC stock values are close but not exactly matching stocks calculated from inferred BD and OC. Treatment duration is average of range provided or smallest value when range was provided as >X.,,0
"Carbon sequestration in the pastoral area of Chepareria, western Kenya",Kenya,2014,"35.2, 1.316667",Grazing management,,Improved grazing methods,,Treatment: Rotational grazing (7-10 years),80-100,900,,,,,1400,6,3,,,,102,,80-100,900,,,,,1400,6.00,3,,,,102,,,,6.1,,,,,,,,1.38,,,,19.24,,5.56,40.64327485,,1,19.60784314,,,,,,1,,,,Jaclyn,Mean treatment values by depth inferred from graphs. SOC stock values are close but not exactly matching stocks calculated from inferred BD and OC. Treatment duration is average of range provided or smallest value when range was provided as >X.,,0
"Carbon sequestration in the pastoral area of Chepareria, western Kenya",Kenya,2014,"35.2, 1.316667",Grazing management,,Improved grazing methods,,Treatment: Rotational grazing (15-23 years),0-20,900,,,,,1400,6,3,,,,228,,0-20,900,,,,,1400,6.00,3,,,,228,,,,6.8,,,,,,,,1.02,,,,13.51,,1.11,8.951612903,,1.5,28.30188679,,,,,,1,,,,Jaclyn,Mean treatment values by depth inferred from graphs. SOC stock values are close but not exactly matching stocks calculated from inferred BD and OC. Treatment duration is average of range provided or smallest value when range was provided as >X.,,0
"Carbon sequestration in the pastoral area of Chepareria, western Kenya",Kenya,2014,"35.2, 1.316667",Grazing management,,Improved grazing methods,,Treatment: Rotational grazing (15-23 years),20-40,900,,,,,1400,6,3,,,,228,,20-40,900,,,,,1400,6.00,3,,,,228,,,,6.6,,,,,,,,1.43,,,,18.79,,-0.66,-3.393316195,,1.1,20,,,,,,1,,,,Jaclyn,Mean treatment values by depth inferred from graphs. SOC stock values are close but not exactly matching stocks calculated from inferred BD and OC. Treatment duration is average of range provided or smallest value when range was provided as >X.,,0
"Carbon sequestration in the pastoral area of Chepareria, western Kenya",Kenya,2014,"35.2, 1.316667",Grazing management,,Improved grazing methods,,Treatment: Rotational grazing (15-23 years),40-60,900,,,,,1400,6,3,,,,228,,40-60,900,,,,,1400,6.00,3,,,,228,,,,6.7,,,,,,,,1.51,,,,20.67,,4.83,30.49242424,,1,17.54385965,,,,,,1,,,,Jaclyn,Mean treatment values by depth inferred from graphs. SOC stock values are close but not exactly matching stocks calculated from inferred BD and OC. Treatment duration is average of range provided or smallest value when range was provided as >X.,,0
"Carbon sequestration in the pastoral area of Chepareria, western Kenya",Kenya,2014,"35.2, 1.316667",Grazing management,,Improved grazing methods,,Treatment: Rotational grazing (15-23 years),60-80,900,,,,,1400,6,3,,,,228,,60-80,900,,,,,1400,6.00,3,,,,228,,,,5.7,,,,,,,,1.44,,,,17.3,,7.13,70.10816126,,0,0,,,,,,1,,,,Jaclyn,Mean treatment values by depth inferred from graphs. SOC stock values are close but not exactly matching stocks calculated from inferred BD and OC. Treatment duration is average of range provided or smallest value when range was provided as >X.,,0
"Carbon sequestration in the pastoral area of Chepareria, western Kenya",Kenya,2014,"35.2, 1.316667",Grazing management,,Improved grazing methods,,Treatment: Rotational grazing (15-23 years),80-100,900,,,,,1400,6,3,,,,228,,80-100,900,,,,,1400,6.00,3,,,,228,,,,5.3,,,,,,,,1.57,,,,17.68,,4,29.23976608,,0.2,3.921568627,,,,,,1,,,,Jaclyn,Mean treatment values by depth inferred from graphs. SOC stock values are close but not exactly matching stocks calculated from inferred BD and OC. Treatment duration is average of range provided or smallest value when range was provided as >X.,,0
"Carbon sequestration potentials of semi-arid rangelands under traditional management practices in Borana, Southern Ethiopia",Ethiopia,2016,"38.0979, 5.0657",Grazing management,,Improved grazing methods,,Treatment: Seasonal planned grazing - dry season grazing area (20 years),0-30,567,,,,,1250,4,1,1200,03/2013,05/2013,240,,0-30,567,,,,,1250,4.00,1,1200,03/2013,05/2013,240,,,,,,,,,,,,,,,,237.36,,109.5,85.64054435,,,,,,,Sandy Clay Loam,53,1,,,Good,Idowu,JK - reviewed; SOC stocks may be improbably high for 0-30 cm,,1
"Carbon sequestration potentials of semi-arid rangelands under traditional management practices in Borana, Southern Ethiopia",Ethiopia,2016,"38.0979, 5.0657",Fire management,,Fire inducement,,"Treatment: Continuous grazing on communal rangelands, prescribed fire (5 years post fire)",0-30,567,,,,,1250,4,1,1200,03/2013,05/2013,60,,0-30,567,,,,,1250,4.00,1,1200,03/2013,05/2013,60,,,,,,,,,,,,,,,,172.67,,44.81,35.04614422,,,,,,,Sandy Clay Loam,53,1,,,Good,Idowu,JK - reviewed; SOC stocks may be improbably high for 0-30 cm,,1
"Carbon sequestration potentials of semi-arid rangelands under traditional management practices in Borana, Southern Ethiopia",Ethiopia,2016,"38.0979, 5.0657",Fire management,,Control,,"Control: Continuous grazing on communal rangelands, no fire",0-30,567,,,,,1250,4,1,1200,03/2013,05/2013,240,,0-30,567,,,,,1250,4.00,1,1200,03/2013,05/2013,240,,,,,,,,,,,,,,,,127.86,,,,,,,,,,Sandy Clay Loam,53,1,,,Good,Idowu,JK -  SOC stocks may be improbably high for 0-30 cm; This would be the control for both the fire treatment and the seasonal grazing treatment. The interaction between fire and grazing treatments was not explored.,,0
"Carbon storage in agroforestry systems in the semi-arid zone of Niayes, Senegal",Senegal,2016,"-16.4625, 15.72",Grazing management,Restoration & Rewilding,Decrease in grazing intensity,Natural regeneration ,Treatment: Gabar - Fallow with low grazing intensity and low biomass pressure (8 yr),0-100,400,24,,,,,3,1,10000,,,96,"texture, pH",0-100,400,24,,,,,3.00,1,10000,,,96,"texture, pH",,,,,,,,,,,,,,,148.5,,58.2,64.45182724,,,,,,,Clay,21.5,1,3,"cattle. sheep, goat",,Jaclyn,Stocks extracted from figure,,0
"Carbon storage in agroforestry systems in the semi-arid zone of Niayes, Senegal",Senegal,2016,"-16.4625, 15.72",Grazing management,Restoration & Rewilding,Control,,"Control: Gabar - Rangelands with high grazing intensity and high biomass pressure (fodder, pruning) (60 yr)",0-100,400,24,,,,,3,1,10000,,,720,"texture, pH",0-100,400,24,,,,,3.00,1,10000,,,720,"texture, pH",,,,,,,,,,,,,,,90.3,,,,,,,,,,Clay,21.5,1,3,"cattle. sheep, goat",,Jaclyn,Stocks extracted from figure,,0
"Carbon storage in agroforestry systems in the semi-arid zone of Niayes, Senegal",Senegal,2016,"-16.4625, 15.72",Grazing management,Restoration & Rewilding,Decrease in grazing intensity,Natural regeneration ,Treatment: Ndiayene - Fallow with low grazing intensity and low biomass pressure (5 yr),0-100,400,24,,,,,3,1,10000,,,60,"texture, pH",0-100,400,24,,,,,3.00,1,10000,,,60,"texture, pH",,,,,,,,,,,,,,,54.3,,9.9,22.2972973,,,,,,,Sandy loam,68.5,1,3,"cattle. sheep, goat",,Jaclyn,Stocks extracted from figure,,0
"Carbon storage in agroforestry systems in the semi-arid zone of Niayes, Senegal",Senegal,2016,"-16.4625, 15.72",Grazing management,Restoration & Rewilding,Control,,"Control: Ndiayene - Rangelands with high grazing intensity and high biomass pressure (fodder, pruning) (80 yr)",0-100,400,24,,,,,3,1,10000,,,960,"texture, pH",0-100,400,24,,,,,3.00,1,10000,,,960,"texture, pH",,,,,,,,,,,,,,,44.4,,,,,,,,,,Sandy loam,68.5,1,3,"cattle. sheep, goat",,Jaclyn,Stocks extracted from figure,,0
"Carbon storage in agroforestry systems in the semi-arid zone of Niayes, Senegal",Senegal,2016,"-16.4625, 15.72",Grazing management,Restoration & Rewilding,Decrease in grazing intensity,Natural regeneration ,Treatment: Wakhal Diam - Fallow with low grazing intensity and low biomass pressure (6 yr),0-100,400,24,,,,,3,1,10000,,,72,"texture, pH",0-100,400,24,,,,,3.00,1,10000,,,72,"texture, pH",,,,,,,,,,,,,,,25.5,,5,24.3902439,,,,,,,Sand,81,1,3,"cattle. sheep, goat",,Jaclyn,Stocks extracted from figure,,0
"Carbon storage in agroforestry systems in the semi-arid zone of Niayes, Senegal",Senegal,2016,"-16.4625, 15.72",Grazing management,Restoration & Rewilding,Control,,"Control: Wakhal Diam - Rangelands with high grazing intensity and high biomass pressure (fodder, pruning) (85 yr)",0-100,400,24,,,,,3,1,10000,,,1020,"texture, pH",0-100,400,24,,,,,3.00,1,10000,,,1020,"texture, pH",,,,,,,,,,,,,,,20.5,,,,,,,,,,Sand,81,1,3,"cattle. sheep, goat",,Jaclyn,Stocks extracted from figure,,0
Comparison of grass and soil conditions around water points in different land use systems in semi-arid South African rangelands and implications for management and current rangeland paradigms,South Africa,2019,"26.87543, -32.97647",Grazing management,,Control,,"Control - communal continous extensive, light stocking rate",0-20,500,22,,,,640,24,5,100,05/2013,06/2013,,"pH, EC, compaction",0-20,500,22,,,,640,24.00,5,100,05/2013,06/2013,,"pH, EC, compaction",,,20,1,,,,,,,1.39,,,,55.6,,,,,,,,,C4,Loamy,,1,3,"cattle, goat",Good,Idowu,,,0
Comparison of grass and soil conditions around water points in different land use systems in semi-arid South African rangelands and implications for management and current rangeland paradigms,South Africa,2019,"26.87543, -32.97647",Grazing management,,Control,,"Control - communal continuous extensive, heavy stocking rate",0-20,500,22,,,,640,24,5,100,05/2013,06/2013,,"pH, EC, compaction",0-20,500,22,,,,640,24.00,5,100,05/2013,06/2013,,"pH, EC, compaction",,,23,1,,,,,,,1.49,,,,68.54,,,,,,,,,C4,Loamy,,1,3,"cattle, goat",Good,Idowu,,,0
Comparison of grass and soil conditions around water points in different land use systems in semi-arid South African rangelands and implications for management and current rangeland paradigms,South Africa,2019,"26.87543, -32.97647",Grazing management,,Improved grazing methods,,"Treatment - commercial rest-rotation, light stocking rate",0-20,500,22,,,,640,24,5,100,05/2013,06/2013,,"pH, EC, compaction",0-20,500,22,,,,640,24.00,5,100,05/2013,06/2013,,"pH, EC, compaction",,,22,1,,,,,,,1.29,,,,56.76,,1.16,2.086330935,,2,10,,,C4,Loamy,,1,1,cattle,Good,Idowu,,,0
Comparison of grass and soil conditions around water points in different land use systems in semi-arid South African rangelands and implications for management and current rangeland paradigms,South Africa,2019,"26.87543, -32.97647",Grazing management,,Improved grazing methods,,"Treatment - commercial rest-rotation, heavy stocking rate",0-20,500,22,,,,640,24,5,100,05/2013,06/2013,,"pH, EC, compaction",0-20,500,22,,,,640,24.00,5,100,05/2013,06/2013,,"pH, EC, compaction",,,17,1,,,,,,,1.33,,,,45.22,,-23.32,-34.02392763,,-6,-26.08695652,,,C4,Loamy,,1,3,"cattle, goat",Good,Idowu,,,0
Comparison of grass and soil conditions around water points in different land use systems in semi-arid South African rangelands and implications for management and current rangeland paradigms,South Africa,2019,"26.87543, -32.97647",Grazing management,,Improved grazing methods,Decrease in grazing intensity ,"Treatment - game reserve continuous, moderate stocking",0-20,400,22,,,,640,24,5,100,05/2013,06/2013,,"pH, EC, compaction",0-20,400,22,,,,640,24.00,5,100,05/2013,06/2013,,"pH, EC, compaction",,,23,1,,,,,,,1.28,,,,58.88,,-9.66,-14.09395973,,0,0,,,mixed,silty clay,,2,3,Game animals,Good,Idowu,,,0
Disentangling Drought and Grazing Effects on Soil Carbon Stocks and CO2 Fluxes in a Semi-Arid African Savanna,South Africa,2020,"29.7, -23.083333 ",Restoration & Rewilding,,Exclosure,,"Treatment: No grazing, No drought",0-5,500,16,,,,,6,1,100,2014,2019,60,"infiltration, particle size, pH, Calcium, Mg, P, K, Zn, Cu, Mn, total C, total N",0-5,500,16,,,,,6.00,1,100,2014,2019,60,"infiltration, particle size, pH, Calcium, Mg, P, K, Zn, Cu, Mn, total C, total N",,,,,,,,,,,,,,,9.6, ,-0.9,-8.571428571,,,,,,,loamy sand,,,,,,Jaclyn,stocks extracted from figure; non-significant differences in grazed vs exclosure stocks,,0
Disentangling Drought and Grazing Effects on Soil Carbon Stocks and CO2 Fluxes in a Semi-Arid African Savanna,South Africa,2020,"29.7, -23.083333 ",Restoration & Rewilding,,Exclosure,,"Treatment: No grazing, Severe drought",0-5,500,16,,,,,6,1,100,2014,2019,60,"infiltration, particle size, pH, Calcium, Mg, P, K, Zn, Cu, Mn, total C, total N",0-5,500,16,,,,,6.00,1,100,2014,2019,60,"infiltration, particle size, pH, Calcium, Mg, P, K, Zn, Cu, Mn, total C, total N",,,,,,,,,,,,,,,10.4,,-1.6,-13.33333333,,,,,,,loamy sand,,,,,,Jaclyn,stocks extracted from figure; non-significant differences in grazed vs exclosure stocks,,0
Disentangling Drought and Grazing Effects on Soil Carbon Stocks and CO2 Fluxes in a Semi-Arid African Savanna,South Africa,2020,"29.7, -23.083333 ",Restoration & Rewilding,,Control,,"Control: Rotational grazing with moderate stocking, No drought",0-5,500,16,,,,,6,1,100,2014,2019,60,"infiltration, particle size, pH, Calcium, Mg, P, K, Zn, Cu, Mn, total C, total N",0-5,500,16,,,,,6.00,1,100,2014,2019,60,"infiltration, particle size, pH, Calcium, Mg, P, K, Zn, Cu, Mn, total C, total N",,,,,,,,,,,,,,,10.5,,,,,,,,,,loamy sand,,1,1,cattle,,Jaclyn,stocks extracted from figure; non-significant differences in grazed vs exclosure stocks,,0
Disentangling Drought and Grazing Effects on Soil Carbon Stocks and CO2 Fluxes in a Semi-Arid African Savanna,South Africa,2020,"29.7, -23.083333 ",Restoration & Rewilding,,Control,,"Control: Rotational grazing with moderate stocking, Severe drought",0-5,500,16,,,,,6,1,100,2014,2019,60,"infiltration, particle size, pH, Calcium, Mg, P, K, Zn, Cu, Mn, total C, total N",0-5,500,16,,,,,6.00,1,100,2014,2019,60,"infiltration, particle size, pH, Calcium, Mg, P, K, Zn, Cu, Mn, total C, total N",,,,,,,,,,,,,,,12,,,,,,,,,,loamy sand,,1,1,cattle,,Jaclyn,stocks extracted from figure; non-significant differences in grazed vs exclosure stocks,,0
