,basic_info-date,basic_info-organisation_name,basic_info-organisation_other,geography-state_name,geography-region_name,geography-district_name,geography-community_name,plot_details-photo,plot_details-polygon,land_use_selection-project_name,land_use_selection-land_use,land_use_selection-intervention,halfmoons-halfmoon_details-halfmoon_type,halfmoons-halfmoon_details-date,halfmoons-halfmoon_details-total_halfmoons,halfmoons-halfmoon_details-size,halfmoons-halfmoon_details-length_decimal,halfmoons-halfmoon_details-width_decimal,halfmoons-halfmoon_details-depth_decimal,halfmoons-halfmoon_details_2-type_halfmoons,halfmoons-halfmoon_details_2-average_space,halfmoons-halfmoon_details_2-vertical_space,halfmoons-halfmoon_details_2-horizontal_space,halfmoons-halfmoon_details_2-manages,halfmoons-halfmoon_details_2-youth_manages,halfmoons-halfmoon_details_2-paid_unpaid_labor,swales-swales_details-type,swales-swales_details-date,swales-swales_details-total,swales-swales_details-average_size,swales-swales_details-length,swales-swales_details-width,swales-swales_details-depth,swales-swales_details-manages,swales-swales_details-youth_manages,swales-swales_details-paid_unpaid_labor,bunds-bunds_details-type,bunds-bunds_details-date,bunds-bunds_details-total,bunds-bunds_details-average_size,bunds-bunds_details-length,bunds-bunds_details-width,bunds-bunds_details-depth,bunds-bunds_details-manages,bunds-bunds_details-youth_manages,bunds-bunds_details-paid_unpaid_labor,terracing-terrace_details-type,terracing-terrace_details-date,terracing-terrace_details-total,terracing-terrace_details-average_size,terracing-terrace_details-length,terracing-terrace_details-width,terracing-terrace_details-depth,terracing-terrace_details-manages,terracing-terrace_details-youth_manages,terracing-terrace_details-paid_unpaid_labor,contour-contour_details-type,contour-contour_details-date,contour-contour_details-total,contour-contour_details-average_size,contour-contour_details-length,contour-contour_details-width,contour-contour_details-depth,contour-contour_details-manages,contour-contour_details-youth_manages,contour-contour_details-paid_unpaid_labor,keylines-keyline_details-type,keylines-keyline_details-date,keylines-keyline_details-total,keylines-keyline_details-average_size,keylines-keyline_details-length,keylines-keyline_details-width,keylines-keyline_details-depth,keylines-keyline_details-manages,keylines-keyline_details-youth_manages,keylines-keyline_details-paid_unpaid_labor,rock_dams-type,rock_dams-date,rock_dams-total,rock_dams-average_size,rock_dams-length,rock_dams-width,rock_dams-depth,rock_dams-manages,rock_dams-youth_manages,rock_dams-paid_unpaid_labor,rock_dams-trees_dams-planted_choice7,rock_dams-trees_dams-num_tree_species,rock_dams-trees_dams-num_trees_planted,rock_dams-trees_dams-num_tree_survived,rock_dams-trees_dams-dams_trees_species,rock_dams-trees_dams-other_dams_trees,rock_dams-grass_dams-num_grass_species,rock_dams-grass_dams-kg_grass_seeds,rock_dams-grass_dams-dams_grass_species,rock_dams-grass_dams-other_dams_grass,rock_dams-managements_dams-additional_management7,rock_dams-managements_dams-management_practices,rock_dams-managements_dams-crops_present7,rock_dams-managements_dams-crops_in_field7,rock_dams-managements_dams-other_crops,rock_dams-managements_dams-agricultural_field_state,rock_dams-gps-Latitude,rock_dams-gps-Longitude,rock_dams-gps-Altitude,rock_dams-gps-Accuracy,rock_dams-photo,plugging-plug_details-type,plugging-plug_details-date,plugging-plug_details-total,plugging-plug_details-average_size,plugging-plug_details-length,plugging-plug_details-width,plugging-plug_details-depth,plugging-plug_details-manages,plugging-plug_details-youth_manages,plugging-plug_details-paid_unpaid_labor,gabions-gabions_details-type,gabions-gabions_details-date,gabions-gabions_details-total,gabions-gabions_details-average_size,gabions-gabions_details-length,gabions-gabions_details-width,gabions-gabions_details-depth,gabions-gabions_details-manages,gabions-gabions_details-youth_manages,gabions-gabions_details-paid_unpaid_labor,basins-basin_details-type,basins-basin_details-date,basins-basin_details-total,basins-basin_details-average_size,basins-basin_details-length,basins-basin_details-width,basins-basin_details-depth,basins-basin_details-average_space,basins-basin_details-vertical_space,basins-basin_details-horizontal_space,basins-basin_details-manages,basins-basin_details-youth_manages,basins-basin_details-paid_unpaid_labor,invasive_removal-removal_date,invasive_removal-invasive_species,invasive_removal-other_invasive_species,invasive_removal-severity,invasive_removal-removal_methods,invasive_removal-removal_frequency,invasive_removal-tree_species,invasive_removal-other_basins_trees,invasive_removal-grass_species,invasive_removal-other_basins_grass,waterpoints-wp_ownership,waterpoints-wp_type,waterpoints-wp_depth,waterpoints-wp_avg_distance,waterpoints-wp_availability,waterpoints-wp_contami_sources,waterpoints-wp_protection,waterpoints-wp_usage,waterpoints-wp_condition,waterpoints-wp_facilities,waterpoints-gps-Latitude,waterpoints-gps-Longitude,waterpoints-gps-Altitude,waterpoints-gps-Accuracy,waterpoints-photo,geometry,area_m2,area_ha,basic_info-name
40,15/04/2025,concern,,jubaland.,gedo,baardhere,bula asharaaf,1744703459157.jpg,2.3368627 42.2571513 83.6878662109375 3.216;2.3387619 42.2573929 72.67962646484375 3.752;2.3386828 42.2589342 79.8980712890625 3.216;2.3374252 42.258321 78.79345703125 3.216;2.3368627 42.2571513 83.6878662109375 3.216,brcis3,communal_land,soil_bunds,,,,,,,,,,,,,,,,,,,,,,,,,new,13/09/2024,14.0,,60.0,2.0,1.5,both,yes,paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((42.25715 2.336863, 42.25739 2.338762, 42.25893 2.338683, 42.25832 2.337425, 42.25715 2.336863))",25043.79651,2.504379651,Ali
41,26/03/2025,acf,,southwest,bakool,ceel berde,higlowayn,1742973601842.jpg,4.8409833 43.7004244 473.7 1.7;4.8427297 43.6997548 462.40000000000003 2.05;4.8427217 43.6997533 462.1 1.899;4.8427217 43.6997533 462.1 1.25;4.8441545 43.7025398 468.5 1.6;4.8428669 43.7025075 463.90000000000003 3.265;4.8409833 43.7004244 473.7 1.7,brcis3,rangeland,halfmoons swales,new,16/03/2025,3340.0,,3.0,1.5,0.2,demi_lunes,,3.0,6.0,both,yes,paid,new,16/03/2025,2.0,,100.0,1.0,0.4,both,no,paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((43.70042 4.840983, 43.69975 4.84273, 43.69975 4.842722, 43.69975 4.842722, 43.70254 4.844155, 43.70251 4.842867, 43.70042 4.840983))",51775.8266,5.17758266,Jamal Ali Tagal
42,12/1/2025,acf,,southwest,bakool,ceel berde,ceel barde,1736667942332.jpg,4.8044323 43.6837381 453.0 3.943;4.8048183 43.6834283 461.3 74.769;4.8054791 43.6846296 458.3 2.621;4.8049017 43.68468 450.2 37.141;4.8044323 43.6837381 453.0 3.943,brcis3,agriculture,halfmoons swales,new,30/09/2024,33.0,,3.0,1.5,20.0,demi_lunes,,6.0,3.0,male,yes,paid,new,12/1/2025,3.0,,45.0,1.0,60.0,male,no,paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((43.68374 4.804432, 43.68343 4.804818, 43.68463 4.805479, 43.68468 4.804902, 43.68374 4.804432))",7568.658989,0.756865899,Jamal Ali
43,29/03/2025,concern,,jubaland.,gedo,baardhere,shimbiroole east,1743592632832.jpg,2.3383528 42.2843823 71.80000305175781 56.1;2.3384602 42.2843619 71.80000305175781 20.509;2.338441 42.2843687 71.80000305175781 23.292;2.3384576 42.2843632 71.80000305175781 10.146;2.3383528 42.2843823 71.80000305175781 56.1,brcis3,rangeland,water_points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,communal/village,other,4.0,100m_to_500m,all_year,not_known,fenced,drinking,funtional,pump generator windmill solar_panels,2.3383745,42.2843729,71.80000305,18.181,1743592764936.jpg,"POLYGON ((42.28438 2.338353, 42.28436 2.33846, 42.28437 2.338441, 42.28436 2.338458, 42.28438 2.338353))",0.122977527,1.23e-05,Abdullahi Sharif Noor LLG
44,29/03/2025,concern,,jubaland.,gedo,baardhere,buulo dhato,1743235462246.jpg,2.2952842 42.2544324 64.12939453125 3.216; 2.2942334 42.2551254 65.843505859375 3.216; 2.2961085 42.2573668 64.55706787109375 3.216; 2.2966629 42.2567731 68.50775146484375 3.216; 2.2952842 42.2544324 64.12939453125 3.216,brcis3,agriculture,terracing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new,29/03/2025,15.0,,10.0,15.0,16.0,both,yes,paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((42.25443 2.295284, 42.25513 2.294233, 42.25737 2.296108, 42.25677 2.296663, 42.25443 2.295284))",35624.39356,3.562439356,Ali Aden
45,29/03/2025,concern,,jubaland.,gedo,baardhere,hurena,1743233174839.jpg,2.3819724 42.3140109 78.026123046875 3.79;2.3825438 42.3145703 74.7391357421875 6.041;2.3812963 42.3155069 70.05419921875 5.284;2.3808331 42.3150588 70.08447265625 3.79;2.3819724 42.3140109 78.026123046875 3.79,brcis3,agriculture,terracing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,existing,10/3/2025,2.0,,500.0,2.0,3.0,both,yes,unpaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((42.31401 2.381972, 42.31457 2.382544, 42.31551 2.381296, 42.31506 2.380833, 42.31401 2.381972))",13745.42242,1.374542242,abdullahi Sharif LLG
46,27/03/2025,concern,,jubaland.,gedo,baardhere,mardha,1743068108391.jpg,2.3993763 42.3345803 73.785888671875 3.79;2.3989322 42.3337857 76.79150390625 5.1;2.3973455 42.3345816 73.5838623046875 8.286;2.3993763 42.3345803 73.785888671875 3.79,brcis3,agriculture,terracing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new,11/3/2025,2.0,,1.0,1.0,5.0,both,yes,unpaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((42.33458 2.399376, 42.33379 2.398932, 42.33458 2.397346, 42.33458 2.399376))",9861.610696,0.98616107,Abdullahi Sharif LLG
47,25/03/2025,concern,,jubaland.,gedo,baardhere,bula adey,1743059925153.jpg,2.3142527 42.263926 73.3662109375 4.014;2.3147918 42.2622021 70.55926513671875 8.348;2.3169107 42.2630112 105.7132568359375 9.058;2.316475 42.2648814 73.82733154296875 3.79;2.3142527 42.263926 73.3662109375 4.014,brcis3,agriculture,contour_planting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new,11/3/2025,10.0,,1.0,2.0,0.5,both,no,paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((42.26393 2.314253, 42.2622 2.314792, 42.26301 2.316911, 42.26488 2.316475, 42.26393 2.314253))",53328.48868,5.332848868,abdullahi Sharif LLG
48,11/3/2025,concern,,jubaland.,gedo,baardhere,bula adey,1742976612328.jpg,2.338481 42.2842712 71.5999984741211 6.52;2.33848 42.2843202 71.5999984741211 11.946;2.3384695 42.2842836 71.5999984741211 4.043;2.338481 42.2842712 71.5999984741211 6.52,brcis3,rangeland,gabions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new,11/3/2025,1.0,,2.0,1.0,5.0,both,yes,unpaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((42.28427 2.338481, 42.28432 2.33848, 42.28428 2.33847, 42.28427 2.338481))",3.320763033,0.000332076,Abdullahi Sharif Noor LLG
49,8/4/2025,acf,,southwest,bakool,hudur,gomore,1744092499085.jpg,4.1795436 43.8963726 475.2 2.001; 4.1801107 43.8964003 485.3 3.994; 4.1801412 43.8967554 494.00000000000006 3.0; 4.1807561 43.8968158 492.2 3.0; 4.180878 43.8963101 491.2 3.0; 4.1807155 43.8959833 490.3 3.0; 4.180374 43.8954115 493.09999999999997 3.035; 4.179633 43.8951156 489.2 3.0; 4.1794735 43.8951624 497.7 3.0; 4.1792878 43.8953585 492.09999999999997 3.0; 4.1791547 43.8954199 494.59999999999997 3.0; 4.1789942 43.8956116 492.00000000000006 3.0; 4.1787667 43.8958376 496.3 3.0; 4.178722 43.8960777 499.59999999999997 3.0; 4.1789415 43.8962163 499.2 3.0; 4.1795436 43.8963726 475.2 2.001,brcis3,agriculture,halfmoons swales,new,8/4/2025,220.0,,4.0,2.0,20.0,demi_lunes,,2.0,1.5,both,no,paid,both,8/4/2025,18.0,,8.0,0.4,0.4,both,no,paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((43.89637 4.179544, 43.8964 4.180111, 43.89676 4.180141, 43.89682 4.180756, 43.89631 4.180878, 43.89598 4.180715, 43.89541 4.180374, 43.89512 4.179633, 43.89516 4.179474, 43.89536 4.179288, 43.89542 4.179155, 43.89561 4.178994, 43.89584 4.178767, 43.89608 4.178722, 43.89622 4.178941, 43.89637 4.179544))",26077.21353,2.607721353,Muktar Mohamednoor Rage
50,10/3/2025,concern,,jubaland.,gedo,baardhere,bandar,1742891228629.jpg,2.3280496 42.2731773 72.44256591796875 4.297;2.3290902 42.2716145 71.14019775390625 4.293;2.3294455 42.2715516 73.885986328125 3.79;2.3293036 42.2709678 70.1915283203125 4.445;2.3280496 42.2731773 72.44256591796875 4.297,brcis3,rangeland,swales,,,,,,,,,,,,,,,new,3/3/2025,1.0,,2.0,5.0,1.0,male,yes,unpaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((42.27318 2.32805, 42.27161 2.32909, 42.27155 2.329445, 42.27097 2.329304, 42.27318 2.32805))",3345.245434,0.334524543,Abdullahi Sharif LLG
51,17/03/2025,concern,,jubaland.,gedo,baardhere,shimbiroole east,1742455402182.jpg,2.3384263 42.2843865 71.80000305175781 20.4; 2.3384254 42.2843864 71.80000305175781 21.601; 2.3384224 42.2843864 71.69999694824219 12.939; 2.3384245 42.2843861 71.80000305175781 7.886; 2.3384272 42.2843836 71.80000305175781 5.228; 2.3384263 42.2843865 71.80000305175781 20.4,brcis3,agriculture,water_points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,communal/village,other,25.0,100m_to_500m,all_year,agricultural_runoff,fenced,drinking,funtional,solar_panels,2.3384798,42.2842587,71.80000305,4.932,1742383031929.jpg,"POLYGON ((42.28439 2.338426, 42.28439 2.338425, 42.28439 2.338422, 42.28439 2.338424, 42.28438 2.338427, 42.28439 2.338426))",0.12299212,1.23e-05,Abdullahi Sharif
52,18/03/2025,concern,,jubaland.,gedo,baardhere,shimbiroole east,1742454670415.jpg,2.3691896 42.2982767 86.9410400390625 7.193;2.3695008 42.2968961 83.08685302734375 12.85;2.3710704 42.2970254 81.5863037109375 6.29;2.370594 42.2986572 79.434326171875 7.524;2.3691896 42.2982767 86.9410400390625 7.193,brcis3,agriculture,water_points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,communal/village,other,3.0,less_than_100m,all_year,none,fenced,drinking,funtional,pump solar_panels,2.3711331,42.2992008,80.61975098,4.944,1742455341334.jpg,"POLYGON ((42.29828 2.36919, 42.2969 2.369501, 42.29703 2.37107, 42.29866 2.370594, 42.29828 2.36919))",28748.80894,2.874880894,Abdullahi
53,15/03/2025,kaalo,,puntland,mudug.,jariiban,sallax,1742363548507.jpg,7.2893551 48.3187716 313.0 7.0; 7.2893786 48.3178419 305.0 3.521; 7.2895673 48.3178726 308.0 3.328; 7.2893551 48.3187716 313.0 7.0,brcis3,rangeland,water_points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,communal/village,borehole,300.0,1000_to_2000m,all_year,none,none,livestock,funtional,pump generator solar_panels,7.2894082,48.3183829,307.0,4.7,1742034585926.jpg,"POLYGON ((48.31877 7.289355, 48.31784 7.289379, 48.31787 7.289567, 48.31877 7.289355))",1071.988748,0.107198875,Abdijalil
54,16/03/2025,kaalo,,puntland,mudug.,jariiban,balibusle,1742109079462.jpg,7.1496232 48.1492397 255.0 3.5; 7.1491413 48.1495998 252.0 3.446; 7.1494305 48.1512259 250.0 3.294; 7.1496232 48.1492397 255.0 3.5,brcis3,rangeland,gabions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new,5/1/2025,80.0,,2.0,1.0,1.0,both,yes,paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((48.14924 7.149623, 48.1496 7.149141, 48.15123 7.14943, 48.14924 7.149623))",5434.251274,0.543425127,Abdijalil said
55,15/03/2025,kaalo,,puntland,mudug.,jariiban,sallax,1742032867782.jpg,7.2885134 48.326266 301.0 3.623; 7.2878514 48.3251193 296.0 3.418; 7.2869007 48.3247811 296.0 3.565; 7.2869113 48.3247877 296.0 3.055; 7.2885134 48.326266 301.0 3.623,brcis3,rangeland,gabions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new,25/12/2024,110.0,,2.0,1.0,1.0,both,yes,paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((48.32627 7.288513, 48.32512 7.287851, 48.32478 7.286901, 48.32479 7.286911, 48.32627 7.288513))",5304.013601,0.53040136,Abdijalil said
56,12/1/2025,acf,,southwest,bakool,hudur,gaabaney,1736676424790.jpg,4.1281521 43.9034523 458.59999999999997 8.0; 4.1284004 43.903684 464.5 3.0; 4.1284664 43.9037875 464.5 3.0; 4.1288222 43.9037021 462.3 3.0; 4.1291707 43.903532 462.7 3.0; 4.1294076 43.9033673 461.2 3.0; 4.1296026 43.9032716 463.5 3.0; 4.1295813 43.9028099 461.8 3.0; 4.1298828 43.9027824 462.4 3.0; 4.1298106 43.9024623 461.7 3.538; 4.1296716 43.902448 462.8 3.186; 4.1294886 43.9023779 462.0 3.362; 4.1291134 43.9023673 463.9 3.454; 4.1290098 43.9026935 468.2 3.331; 4.1290637 43.9028919 464.8 3.146; 4.1287593 43.903021 463.5 3.449; 4.1287831 43.9031171 464.0 3.0; 4.1281521 43.9034523 458.59999999999997 8.0,brcis3,agriculture,halfmoons swales,new,10/9/2024,102.0,,4.0,2.0,20.0,demi_lunes,,15.0,3.0,male,no,paid,new,15/09/2024,100.0,,88.0,45.0,40.0,male,no,paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((43.90345 4.128152, 43.90368 4.1284, 43.90379 4.128466, 43.9037 4.128822, 43.90353 4.129171, 43.90337 4.129408, 43.90327 4.129603, 43.90281 4.129581, 43.90278 4.129883, 43.90246 4.129811, 43.90245 4.129672, 43.90238 4.129489, 43.90237 4.129113, 43.90269 4.12901, 43.90289 4.129064, 43.90302 4.128759, 43.90312 4.128783, 43.90345 4.128152))",13414.36188,1.341436188,Muktar Mohamednoor Rage
57,24/09/2024,gredo,,southwest..,bay,baidoa,qurunlow reer dumal,1737885965901.jpg,3.1963233 43.5414233 459.2 5.3; 3.1964503 43.5416194 460.1 3.338; 3.1966304 43.5418511 461.4 3.538; 3.1967687 43.5421002 461.5 3.565; 3.1970427 43.5423732 459.2 3.523; 3.1972458 43.5425623 460.9 3.361; 3.1974669 43.5427658 459.6 3.605; 3.1977029 43.5429486 462.3 3.667; 3.1979353 43.5430789 462.9 3.382; 3.1981752 43.5432263 463.9 3.549; 3.1984271 43.5433227 461.9 3.0; 3.1987034 43.5433015 460.8 3.0; 3.1988987 43.5432591 461.2 3.239; 3.1988849 43.5430838 461.4 3.0; 3.1986038 43.5429737 463.4 3.62; 3.198412 43.542736 461.3 3.779; 3.1981345 43.542683 461.2 3.514; 3.1978632 43.5426173 462.8 3.0; 3.1976574 43.542444 463.1 3.504; 3.1974289 43.5422748 462.1 3.381; 3.1973023 43.5420282 463.7 3.525; 3.1971979 43.5419137 462.2 3.0; 3.1970142 43.5417013 463.0 3.804; 3.1968634 43.541485 462.2 3.598; 3.1967457 43.5412751 461.2 3.577; 3.1965341 43.5413132 460.3 3.0; 3.1963167 43.5413322 459.7 3.52; 3.1963807 43.5415403 461.4 3.0; 3.1963233 43.5414233 459.2 5.3,brcis3,agriculture,halfmoons swales gulley_plugging,new,24/09/2024,25.0,,10.0,8.0,70.0,demi_lunes,,3.0,6.0,both,no,paid,new,24/09/2024,6.0,,45.0,0.9,60.0,both,no,paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((43.54142 3.196323, 43.54162 3.19645, 43.54185 3.19663, 43.5421 3.196769, 43.54237 3.197043, 43.54256 3.197246, 43.54277 3.197467, 43.54295 3.197703, 43.54308 3.197935, 43.54323 3.198175, 43.54332 3.198427, 43.5433 3.198703, 43.54326 3.198899, 43.54308 3.198885, 43.54297 3.198604, 43.54274 3.198412, 43.54268 3.198135, 43.54262 3.197863, 43.54244 3.197657, 43.54227 3.197429, 43.54203 3.197302, 43.54191 3.197198, 43.5417 3.197014, 43.54149 3.196863, 43.54128 3.196746, 43.54131 3.196534, 43.54133 3.196317, 43.54154 3.196381, 43.54142 3.196323))",15423.49478,1.542349478,Abdiaziz Adan Hassan
58,24/09/2024,gredo,,southwest..,bay,baidoa,buulo-xaawa,1737876190933.jpg,3.1818117 43.4386366 449.6 2.733; 3.1816925 43.4387955 445.7 3.0; 3.1816681 43.4390141 447.5 3.0; 3.1817287 43.4392442 448.3 3.0; 3.1817295 43.4394976 447.8 3.0; 3.1818569 43.4396915 447.2 3.0; 3.1818496 43.4399467 447.2 3.0; 3.1819386 43.4401707 447.8 3.079; 3.1821744 43.4402131 448.8 3.133; 3.1824188 43.4402085 448.0 3.0; 3.1824565 43.4402148 450.0 3.0; 3.1824567 43.440215 450.0 1.2; 3.18246 43.4402097 450.5 1.233; 3.1825658 43.4401537 447.7 3.0; 3.182582 43.4399429 447.6 3.0; 3.1826061 43.4397204 448.40000000000003 3.0; 3.1826662 43.4394979 448.3 3.0; 3.1827439 43.4392905 448.6 3.0; 3.1827055 43.4391181 448.8 3.0; 3.1826273 43.4388681 447.0 3.0; 3.1825492 43.4386232 448.6 3.0; 3.1825044 43.4384919 449.0 3.0; 3.1823773 43.4383201 447.40000000000003 3.0; 3.1823871 43.4380776 448.6 3.0; 3.182192 43.4379408 447.90000000000003 3.131; 3.1820485 43.437936 447.3 3.639; 3.1819092 43.4381645 448.0 3.446; 3.1817851 43.4383725 448.40000000000003 3.0; 3.1816793 43.4386099 448.3 3.129; 3.1818117 43.4386366 449.6 2.733,brcis3,agriculture,halfmoons swales gulley_plugging,new,24/09/2024,30.0,,10.0,8.0,70.0,demi_lunes,,3.0,6.0,both,no,paid,new,24/09/2024,4.0,,100.0,0.9,60.0,both,no,paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((43.43864 3.181812, 43.4388 3.181693, 43.43901 3.181668, 43.43924 3.181729, 43.4395 3.18173, 43.43969 3.181857, 43.43995 3.18185, 43.44017 3.181939, 43.44021 3.182174, 43.44021 3.182419, 43.44021 3.182456, 43.44022 3.182457, 43.44021 3.18246, 43.44015 3.182566, 43.43994 3.182582, 43.43972 3.182606, 43.4395 3.182666, 43.43929 3.182744, 43.43912 3.182705, 43.43887 3.182627, 43.43862 3.182549, 43.43849 3.182504, 43.43832 3.182377, 43.43808 3.182387, 43.43794 3.182192, 43.43794 3.182049, 43.43816 3.181909, 43.43837 3.181785, 43.43861 3.181679, 43.43864 3.181812))",21330.8884,2.13308884,Abdiaziz Adan Hassan
