,Scientific Name,Local Name,Tree Usage,Other Usages,has_fruits,country_x,verbatim_name,nameSource_x,country_y,scientificName,rank,status,kingdom,phylum,order,family,genus,species,confidence,canonicalName,species_matched_from_accepted,country_matched_from,source,verbatim_name_from_gbif,match_score,match_status,nameSource_y,original_name_gbif_local,species_matched_from_gbif_local,_merge,cleaned_scientific_name
17,Acacia mellifera,iti,SHADE FIREWOOD ,,FALSE,Kenya,acacia mellifera,scientific_name,Kenya,Acacia mellifera (Vahl.) Benth.,SPECIES,SYNONYM,Plantae,Tracheophyta,Fabales,Fabaceae,Senegalia,Senegalia mellifera,99,Acacia mellifera,,,,,,,,,,both,Acacia mellifera
18,Senna siamea,mjohoro,SHADE ,,FALSE,Kenya,mjohoro,local_name (replaced NA),Kenya,Senna siamea (Lam.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna siamea,100,Senna siamea,mjohoro,Kenya,V,senna siamea,0,Accepted,scientific_name,mjohoro,mjohoro,both,Senna siamea
19,Senna siamea,mjohoro,SHADE ,,FALSE,Kenya,mjohoro,local_name (replaced NA),Kenya,Senna siamea (Lam.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna siamea,100,Senna siamea,mjohoro,Kenya,V,senna siamea,0,Accepted,scientific_name,mjohoro,mjohoro,both,Senna siamea
20,Grevillea robusta,grivellia,SHADE SOIL_FERTILITY ,,FALSE,Kenya,grivellia,local_name (replaced NA),Kenya,Grevillea robusta A.Cunn. ex R.Br.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Proteales,Proteaceae,Grevillea,Grevillea robusta,99,Grevillea robusta,grivellia,,J,grevillea robusta,0,Accepted,scientific_name,mugima,Mukima,both,Grevillea robusta
21,Grevillea robusta,grivellia,SHADE SOIL_FERTILITY ,,FALSE,Kenya,grivellia,local_name (replaced NA),Kenya,Grevillea robusta A.Cunn. ex R.Br.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Proteales,Proteaceae,Grevillea,Grevillea robusta,99,Grevillea robusta,grivellia,,J,grevillea robusta,0,Accepted,scientific_name,mugima,Mukima,both,Grevillea robusta
22,Monoon longifolium,ashok,SHADE ,beautification,FALSE,Kenya,ashok,local_name (replaced NA),Kenya,Monoon longifolium (Sonn.) B.Xue & R.M.K.Saunders,SPECIES,SYNONYM,Plantae,Tracheophyta,Magnoliales,Annonaceae,Polyalthia,Polyalthia longifolia,100,Monoon longifolium,ashok,Kenya,V,monoon longifolium,0,Accepted,scientific_name,ashok,ashok,both,Monoon longifolium
23,Grevillea robusta,grivellia,SHADE ,,FALSE,Kenya,grivellia,local_name (replaced NA),Kenya,Grevillea robusta A.Cunn. ex R.Br.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Proteales,Proteaceae,Grevillea,Grevillea robusta,99,Grevillea robusta,grivellia,,J,grevillea robusta,0,Accepted,scientific_name,mugima,Mukima,both,Grevillea robusta
24,Citrus limon,lemon tree,FRUITS SHADE ,,TRUE,Kenya,lemon tree,local_name (replaced NA),Kenya,Citrus × limon (L.) Osbeck,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Rutaceae,Citrus,Citrus limon,99,Citrus limon,lemon,Kenya,V,citrus limon,0.1,Accepted,scientific_name,lemon tree,lemon,both,Citrus limon
25,Mangifera indica,mango tree,FRUITS SHADE ,,TRUE,Kenya,mango tree,local_name (replaced NA),Kenya,Mangifera indica L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Anacardiaceae,Mangifera,Mangifera indica,99,Mangifera indica,Mango tree,Kenya,V,mangifera indica,0,Accepted,scientific_name,mango tree,Mango tree,both,Mangifera indica
26,Terminalia brownii,Kiuku,FIREWOOD SHADE MEDICINAL CONSTRUCTION FODDER ,,FALSE,Kenya,kiuku,local_name (replaced NA),Kenya,Terminalia brownii Fresen.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Combretaceae,Terminalia,Terminalia brownii,100,Terminalia brownii,kiuuku,Kenya,V,terminalia brownii,0.085555556,Accepted,scientific_name,kiuku,kiuuku,both,Terminalia brownii
27,Dodonaea viscosa,Kamulingula,FIREWOOD FODDER SOIL_FERTILITY ,Flowers for bee hive,FALSE,Kenya,kamulingula,local_name (replaced NA),Kenya,Dodonaea viscosa (L.) Jacq.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Sapindaceae,Dodonaea,Dodonaea viscosa,99,Dodonaea viscosa,kamulingula,Kenya,V,dodonaea viscosa,0,Accepted,scientific_name,kamulingula,kamulingula,both,Dodonaea viscosa
28,Sterculia africana,Kiusya,SOIL_FERTILITY ,Weaving for a construction house roofing tr sttrey,FALSE,Kenya,kiusya,local_name (replaced NA),Kenya,Sterculia africana (Lour.) Fiori,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malvales,Malvaceae,Sterculia,Sterculia africana,100,Sterculia africana,kiusya,Kenya,V,sterculia africana,0,Accepted,scientific_name,kiusya,kiusya,both,Sterculia africana
29,Acacia tortilis,Mwaa,FIREWOOD SHADE FODDER SOIL_FERTILITY ,,FALSE,Kenya,acacia tortillis,scientific_name,Kenya,Acacia tortilis (Forssk.) Hayne,SPECIES,SYNONYM,Plantae,Tracheophyta,Fabales,Fabaceae,Vachellia,Vachellia tortilis,97,Acacia tortilis,,,,,,,,,,both,Acacia tortilis
30,Balanites aegyptiaca,Kilului,FIREWOOD SHADE FODDER FRUITS SOIL_FERTILITY ,,TRUE,Kenya,kilului,local_name (replaced NA),Kenya,Balanites aegyptiaca (L.) Delile,SPECIES,ACCEPTED,Plantae,Tracheophyta,Zygophyllales,Zygophyllaceae,Balanites,Balanites aegyptiaca,99,Balanites aegyptiaca,Kilului,Kenya,R,balanites aegyptiaca,0,Accepted,scientific_name,kilului,Kilului,both,Balanites aegyptiaca
31,Adansonia digitata,Kiamba,SHADE FRUITS SOIL_FERTILITY ,Baobab seed weaving,TRUE,Kenya,adansonia digitata,scientific_name,Kenya,Adansonia digitata L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malvales,Malvaceae,Adansonia,Adansonia digitata,100,Adansonia digitata,,,,,,,,,,both,Adansonia digitata
32,Cordia sinensis,Muthiia,FIREWOOD FODDER CONSTRUCTION SOIL_FERTILITY ,Fencing,FALSE,Kenya,cordia sinensis,scientific_name,Kenya,Cordia sinensis Lam.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Boraginales,Cordiaceae,Cordia,Cordia sinensis,100,Cordia sinensis,,,,,,,,,,both,Cordia sinensis
33,Terminalia prunioides,Mutooo,FIREWOOD SHADE SOIL_FERTILITY ,Fencing Termites eat it,FALSE,Kenya,mutooo,local_name (replaced NA),Kenya,Terminalia prunioides M.A.Lawson,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Combretaceae,Terminalia,Terminalia prunioides,100,Terminalia prunioides,Mutooro,Kenya,R,terminalia prunioides,0.028571429,Accepted,scientific_name,mutooo,Mutooro,both,Terminalia prunioides
34,Cassia arereh,Mwela ndathe,FIREWOOD MEDICINAL ,Fencing,FALSE,Kenya,mwela ndathe,local_name (replaced NA),Kenya,Cassia arereh Delile,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Cassia,Cassia arereh,100,Cassia arereh,mwela ndathe,Kenya,V,cassia arereh,0,Accepted,scientific_name,mwela ndathe,mwela ndathe,both,Cassia arereh
35,Markhamia lutea,Kyooa,FIREWOOD CONSTRUCTION ,Fencing,FALSE,Kenya,kyooa,local_name (replaced NA),Kenya,Markhamia lutea (Benth.) K.Schum.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Lamiales,Bignoniaceae,Markhamia,Markhamia lutea,100,Markhamia lutea,Kyoo,Kenya,R,markhamia lutea,0.040000000000000036,Accepted,scientific_name,kyooa,Kyoo,both,Markhamia lutea
36,Sterculia africana,Kyusya,SHADE ,Weaving threads,FALSE,Kenya,kyusya,local_name (replaced NA),Kenya,Sterculia africana (Lour.) Fiori,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malvales,Malvaceae,Sterculia,Sterculia africana,100,Sterculia africana,kyusya,Kenya,V,sterculia africana,0,Accepted,scientific_name,kiusya,kiusya,both,Sterculia africana
37,Delonix elata,Muange,FIREWOOD SHADE FODDER CONSTRUCTION SOIL_FERTILITY ,,FALSE,Kenya,muange,local_name (replaced NA),Kenya,Delonix elata (L.) Gamble,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Delonix,Delonix elata,100,Delonix elata,Muange,Kenya,R,delonix elata,0,Accepted,scientific_name,muange,Muange,both,Delonix elata
38,,Kyuasi,FIREWOOD CONSTRUCTION ,Beehive,FALSE,Kenya,kyuasi,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
39,,Mchrismas,SHADE ,,FALSE,Kenya,mchrismas,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
40,Acacia elatior,Mbunga,SHADE FIREWOOD ,,FALSE,Kenya,mbunga,local_name (replaced NA),Kenya,Acacia elatior Brenan,SPECIES,SYNONYM,Plantae,Tracheophyta,Fabales,Fabaceae,Vachellia,Vachellia elatior,100,Acacia elatior,Munga,Kenya,R,acacia elatior,0.05,Accepted,scientific_name,mbunga,Munga,both,Acacia elatior
41,Azadirachta indica,Mwarubaini,SHADE MEDICINAL FIREWOOD SOIL_FERTILITY ,,FALSE,Kenya,mwarubaini,local_name (replaced NA),Kenya,Azadirachta indica A.Juss.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Azadirachta,Azadirachta indica,100,Azadirachta indica,Mwarubaini,Kenya,R,azadirachta indica,0,Accepted,scientific_name,mwarubaini,Mwarubaini,both,Azadirachta indica
42,Grevillea robusta,Gravelia,FIREWOOD CONSTRUCTION ,,FALSE,Kenya,gravelia,local_name (replaced NA),Kenya,Grevillea robusta A.Cunn. ex R.Br.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Proteales,Proteaceae,Grevillea,Grevillea robusta,99,Grevillea robusta,gravelia,,J,grevillea robusta,0,Accepted,scientific_name,mugima,Mukima,both,Grevillea robusta
43,Senna siamea,Mjohoro,SHADE FIREWOOD SOIL_FERTILITY ,,FALSE,Kenya,mjohoro,local_name (replaced NA),Kenya,Senna siamea (Lam.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna siamea,100,Senna siamea,mjohoro,Kenya,V,senna siamea,0,Accepted,scientific_name,mjohoro,mjohoro,both,Senna siamea
44,Senna siamea,mukengeta,FODDER FIREWOOD MEDICINAL ,,FALSE,Kenya,mukengeta,local_name (replaced NA),Kenya,Senna siamea (Lam.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna siamea,100,Senna siamea,Mukengeta,Kenya,V,senna siamea,0,Accepted,scientific_name,mjohoro,mjohoro,both,Senna siamea
45,,kitiithi,SHADE CONSTRUCTION FIREWOOD ,,FALSE,Kenya,kitiithi,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
46,Dalbergia melanoxylon,muvingo,OTHER SHADE CONSTRUCTION FIREWOOD ,wood curvings,FALSE,Kenya,muvingo,local_name (replaced NA),Kenya,Dalbergia melanoxylon Guill. & Perr.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Dalbergia,Dalbergia melanoxylon,100,Dalbergia melanoxylon,Muvingo,Kenya,R,dalbergia melanoxylon,0,Accepted,scientific_name,muvingo,Muvingo,both,Dalbergia melanoxylon
47,Acacia nilotica,musemei,OTHER FODDER SHADE FIREWOOD MEDICINAL ,fencing,FALSE,Kenya,musemei,local_name (replaced NA),Kenya,Acacia nilotica (L.) Willd. ex Delile,SPECIES,SYNONYM,Plantae,Tracheophyta,Fabales,Fabaceae,Vachellia,Vachellia nilotica,99,Acacia nilotica,musemei,Kenya,V,acacia nilotica,0,Accepted,scientific_name,musemei,musemei,both,Acacia nilotica
48,Olea europaea,muthaalwa,FIREWOOD MEDICINAL ,,FALSE,Kenya,muthaalwa,local_name (replaced NA),Kenya,Olea europaea L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Lamiales,Oleaceae,Olea,Olea europaea,99,Olea europaea,Muthata,Kenya,R,olea europaea,0.095238095,Accepted,scientific_name,muthaalwa,Muthata,both,Olea europaea
49,Rhus natalensis,muthingii,FODDER CONSTRUCTION FIREWOOD ,,FALSE,Kenya,muthingii,local_name (replaced NA),Kenya,Rhus natalensis Bernh. ex Krauss,SPECIES,SYNONYM,Plantae,Tracheophyta,Sapindales,Anacardiaceae,Searsia,Searsia natalensis,99,Rhus natalensis,Muthigio,Kenya,R,rhus natalensis,0.069444444,Accepted,scientific_name,muthingii,Muthigio,both,Rhus natalensis
50,Terminalia brownii,muuku,SHADE CONSTRUCTION FIREWOOD MEDICINAL ,,FALSE,Kenya,terminalia brownii,scientific_name,Kenya,Terminalia brownii Fresen.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Combretaceae,Terminalia,Terminalia brownii,100,Terminalia brownii,,,,,,,,,,both,Terminalia brownii
51,,kyuasi,OTHER FODDER SHADE FIREWOOD MEDICINAL ,for painting,FALSE,Kenya,kyuasi,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
52,Trichilia emetica,mututi,OTHER FODDER FIREWOOD MEDICINAL ,source of nector for bees,FALSE,Kenya,mututi,local_name (replaced NA),Kenya,Trichilia emetica (Forssk.) Vahl,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Trichilia,Trichilia emetica,100,Trichilia emetica,Mutuati,Kenya,R,trichilia emetica,0.028571429,Accepted,scientific_name,mututi,Mutuati,both,Trichilia emetica
53,Acacia senegal,kingole,OTHER FODDER FIREWOOD MEDICINAL ,fencing,FALSE,Kenya,acacia senegal,scientific_name,Kenya,Acacia senegal (L.) Willd.,SPECIES,SYNONYM,Plantae,Tracheophyta,Fabales,Fabaceae,Senegalia,Senegalia senegal,100,Acacia senegal,,,,,,,,,,both,Acacia senegal
54,,itungati,CONSTRUCTION FIREWOOD MEDICINAL ,,FALSE,Kenya,itungati,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
55,Dichrostachys cinerea,muvilisya,FODDER FIREWOOD MEDICINAL ,,FALSE,Kenya,muvilisya,local_name (replaced NA),Kenya,Dichrostachys cinerea (L.) Wight & Arn.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Dichrostachys,Dichrostachys cinerea,99,Dichrostachys cinerea,Muvilisya,Kenya,R,dichrostachys cinerea,0,Accepted,scientific_name,muvilisya,Muvilisya,both,Dichrostachys cinerea
56,Balanites aegyptiaca,kiluli,FODDER SHADE CONSTRUCTION FIREWOOD ,,FALSE,Kenya,kiluli,local_name (replaced NA),Kenya,Balanites aegyptiaca (L.) Delile,SPECIES,ACCEPTED,Plantae,Tracheophyta,Zygophyllales,Zygophyllaceae,Balanites,Balanites aegyptiaca,99,Balanites aegyptiaca,Kilului,Kenya,R,balanites aegyptiaca,0.028571429,Accepted,scientific_name,kilului,Kilului,both,Balanites aegyptiaca
57,Cassia arereh,mwela ndathe,SHADE CONSTRUCTION FIREWOOD MEDICINAL ,,FALSE,Kenya,mwela ndathe,local_name (replaced NA),Kenya,Cassia arereh Delile,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Cassia,Cassia arereh,100,Cassia arereh,mwela ndathe,Kenya,V,cassia arereh,0,Accepted,scientific_name,mwela ndathe,mwela ndathe,both,Cassia arereh
58,Senna siamea,mukenea,OTHER CONSTRUCTION MEDICINAL ,fencing,FALSE,Kenya,mukenea,local_name (replaced NA),Kenya,Senna siamea (Lam.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna siamea,100,Senna siamea,Mukengeta,Kenya,V,senna siamea,0.044444444,Accepted,scientific_name,mjohoro,mjohoro,both,Senna siamea
59,Acacia mellifera,muthiia,OTHER SHADE CONSTRUCTION FIREWOOD ,fencing,FALSE,Kenya,muthiia,local_name (replaced NA),Kenya,Acacia mellifera (Vahl.) Benth.,SPECIES,SYNONYM,Plantae,Tracheophyta,Fabales,Fabaceae,Senegalia,Senegalia mellifera,99,Acacia mellifera,Muthiia,Kenya,R,acacia mellifera,0,Accepted,scientific_name,muthiia,Muthiia,both,Acacia mellifera
60,Polyscias fulva,munguuthe,FODDER SHADE CONSTRUCTION FIREWOOD MEDICINAL ,,FALSE,Kenya,munguuthe,local_name (replaced NA),Kenya,Polyscias fulva (Hiern) Harms,SPECIES,ACCEPTED,Plantae,Tracheophyta,Apiales,Araliaceae,Polyscias,Polyscias fulva,99,Polyscias fulva,Mungu,Uganda,R,polyscias fulva,0.088888889,Accepted,scientific_name,munguuthe,Mungu,both,Polyscias fulva
61,Combretum molle,mwaa,FODDER SHADE CONSTRUCTION FIREWOOD MEDICINAL ,,FALSE,Kenya,mwaa,local_name (replaced NA),Kenya,Combretum molle R.Br. ex G.Don,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Combretaceae,Combretum,Combretum molle,99,Combretum molle,Mwama,Kenya,R,combretum molle,0.046666666666666745,Accepted,scientific_name,mwaa,Mwama,both,Combretum molle
62,Osyris lanceolata,kiulua,FODDER SHADE CONSTRUCTION FIREWOOD ,,FALSE,Kenya,kiulua,local_name (replaced NA),Kenya,Osyris lanceolata Steud. & Hochst. ex A.DC.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Santalales,Santalaceae,Osyris,Osyris lanceolata,99,Osyris lanceolata,Kijulu,Kenya,R,osyris lanceolata,0.088888889,Accepted,scientific_name,kiulua,Kijulu,both,Osyris lanceolata
63,Pouteria adolfi-friederici,munina,FODDER CONSTRUCTION FIREWOOD MEDICINAL ,,FALSE,Kenya,munina,local_name (replaced NA),Kenya,Pouteria adolfi-friederici (Engl.) Baehni,SPECIES,ACCEPTED,Plantae,Tracheophyta,Ericales,Sapotaceae,Pouteria,Pouteria adolfi-friederici,96,Pouteria adolfi-friederici,Muna,Kenya,R,pouteria adolfifriedericii,0.077777778,Accepted,scientific_name,munina,Muna,both,Pouteria adolfi-friederici
64,Adansonia digitata,kiamba,FRUITS OTHER FODDER SHADE LEAF_VEGETABLES ,source of fibre,TRUE,Kenya,kiamba,local_name (replaced NA),Kenya,Adansonia digitata L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malvales,Malvaceae,Adansonia,Adansonia digitata,100,Adansonia digitata,kiamba,Kenya,V,adansonia digitata,0,Accepted,scientific_name,kiamba,kiamba,both,Adansonia digitata
65,Terminalia brownii,Muuku,CONSTRUCTION MEDICINAL FIREWOOD ,,FALSE,Kenya,muuku,local_name (replaced NA),Kenya,Terminalia brownii Fresen.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Combretaceae,Terminalia,Terminalia brownii,100,Terminalia brownii,Muuku,Kenya,R,terminalia brownii,0,Accepted,scientific_name,kiuku,kiuuku,both,Terminalia brownii
66,Citrus sinensis,orange tree,FRUITS SHADE ,,TRUE,Kenya,orange tree,local_name (replaced NA),Kenya,"Citrus sinensis (Mill.) Pers., 1806",SPECIES,SYNONYM,Plantae,Tracheophyta,Sapindales,Rutaceae,Citrus,Citrus aurantium,99,Citrus sinensis,orange tree,Kenya,V,citrus sinensis,0,Accepted,scientific_name,orange tree,orange tree,both,Citrus sinensis
67,Combretum apiculatum,itithi,FODDER SOIL_FERTILITY SHADE FIREWOOD ,,FALSE,Kenya,combretum apiculatum,scientific_name,Kenya,Combretum apiculatum Sond.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Combretaceae,Combretum,Combretum apiculatum,100,Combretum apiculatum,,,,,,,,,,both,Combretum apiculatum
68,Combretum aculeatum,imuna,FODDER SHADE FIREWOOD ,,FALSE,Kenya,combretum aculeatum,scientific_name,Kenya,Combretum aculeatum Vent.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Combretaceae,Combretum,Combretum aculeatum,100,Combretum aculeatum,,,,,,,,,,both,Combretum aculeatum
69,Maesopsis eminii,musinziili,FIREWOOD ,,FALSE,Kenya,musinziili,local_name (replaced NA),Kenya,Maesopsis eminii Engl.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Rosales,Rhamnaceae,Maesopsis,Maesopsis eminii,100,Maesopsis eminii,Musizi,Uganda,R,maesopsis eminii,0.08,Accepted,scientific_name,musinziili,Musizi,both,Maesopsis eminii
